Product Name,Unit,Unit Value
Karuppu Kavuni Rice 1kg,1,KG
Kichili Samba Rice 1kg,1,KG
Essential Vegetable Combo,1,BAG
Spinach Combo,1,BAG
English Combo,1,BAG
Traditional Combo/பாரம்பரிய காய்கறி கூட்டு பை,1,BAG
Sweet Potato (sakkarai Valli Kilangu),500,G
Green Apple,1,KG
Kangeyam Country Cow Ghee (naatu Maadu Nei),500,ML
Neem Soap 100 Gm,1,PS
Saffron Soap,1,PS
Lavender Soap,1,PS
Moringa Noodles,1,PS
Little Noodles,1,PS
Kodo Noodles,1,PS
Hibiscus Soup Mix,1,PS
Trial Pack,1,PS
Fluffy Pads (jumbo Pack) - Xxl,1,PS
Fluffy Pads (jumbo)- Xl,1,PS
Multi Millet Vermicelli / நவதானிய சேமியா,1,PS
Pearl Millet Vermicelli / கம்பு சேமியா,1,PS
Hand Pounded Rice Noodles,1,PS
Maternity Pads-l,1,BOX
Adult Diapers - Xl,1,BOX
Sweat Pads,1,PS
Adult Diaper - L,1,BOX
Moringa Leaf Soup Mix,1,PS
Brahmi Soup Mix,1,PS
Curry Leaf Soup Mix,1,PS
Gralic Soup,1,PS
Cassia Auriculata Soup Mix,1,PS
Ficus Glomerata Friut Soup Mix,1,PS
Fluffy Pads - Xxxl,1,PS
Cynodon Daciylon Soup Mix,1,PS
Syzyguirm Cumini Nut Soup Mix,1,PS
Fluffy Pads - L,1,PS
Atem Anthera Traindra Soup Mix,1,PS
Fluffy Pads (jumbo Mix) - Xl + Xxl,1,BOX
Slimmy Pads - Xxl,1,PS
Slimmy Pads - Xl,1,PS
Panty Liners,1,PS
Fluffy Pads - Xl,1,PS
Fluffy Pads - Xxl,1,PS
Maternity Pads-m,1,PS
Maternity Pads - Xl,1,PS
Herbal Mosquito Repellant Body Spray,1,ML
Herbal Mosquito Vapourizer,100,ML
Herbal Termite Repellent,100,ML
Herbal Lizard Repellent,100,ML
Moscup,50,G
Herbal Housefly Repellant,100,ML
